TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ALPA4;11,98;4,52;13,21;2,37;1,3;52,49;14,46;13,17;12,03;11,61;0,71;0,14;1,74;6,43;-2,51;1,73;17,9;9,85;13,55;0,55;0,45;0,75;6,29;34,59;30669173,55;5,06;0,91;0,06;7412396155,53
LIGT3;2,74;;0,39;0,12;0,04;14,11;5,27;17,09;1,27;11,71;10,44;1,01;0,07;-0,48;-0,04;0,7;31,42;9,25;-9,48;0,29;0,71;0,54;2,78;30,46;11441015,74;22,34;7,02;0,05;1020801587,76
EQTL3;38,91;4,07;31,68;1,91;0,44;25,59;15,18;2,91;6,08;11,78;5,7;1,79;0,92;5,01;-0,58;1,56;6,02;1,38;9,06;0,23;0,75;0,48;23,82;-12,26;327113470,61;20,4;1,23;-0,63;48996845406,27
MTSA4;43,79;9,55;9,91;0,83;0,62;21,97;5,82;7,44;12,66;11,79;-5,26;-0,35;0,74;1,01;-2,74;4,77;8,39;6,23;-0,01;0,74;0,26;0,84;7,69;-7,44;582554,1;52,69;4,42;1,72;518439477,7
CPLE3;14,44;5,71;15,86;1,81;0,68;21,88;18,94;9,95;8,33;11,84;3,51;0,76;1,58;12,14;-0,86;1,37;11,39;4,31;9,59;0,38;0,62;0,43;6,99;-7,01;338959761,22;7,99;0,91;-2,04;43071784930,58
CPLE5;10,98;;12,06;1,37;0,52;21,88;18,94;9,95;6,34;11,84;3,51;0,76;1,2;9,23;-0,66;1,37;11,39;4,31;9,59;0,38;0,62;0,43;6,99;-7,01;408011897;7,99;0,91;-1,55;43071784930,58
CPLE6;14,22;;15,62;1,78;0,67;21,88;18,94;9,95;8,21;11,84;3,51;0,76;1,55;11,95;-0,85;1,37;11,39;4,31;9,59;0,38;0,62;0,43;6,99;-7,01;121075705;7,99;0,91;-2,01;43071784930,58
SUZB3;41,74;2,68;4,64;1,1;0,32;31,42;20,52;22,96;5,19;11,92;6,73;1,42;1,07;1,75;-0,43;3,51;23,68;6,86;-0,36;0,29;0,71;0,3;10,47;;252671735;38;9;0;52764269250,1
VITT3;3,43;8,24;8,97;0,88;0,58;29,45;7,86;7,7;8,79;11,94;3,15;0,31;0,69;1,66;-1,52;2,26;9,79;6,41;6,51;0,65;0,35;0,83;9,09;-5,4;1006355;3,9;0,38;-0,6;555815790,6
RADL3;17,46;2,32;23,68;4,17;1,21;30,1;6,07;2,89;11,26;12,41;1,15;0,43;0,68;6,24;-3,09;1,47;17,6;5,11;22,81;0,29;0,71;1,77;17,14;21,67;235806108,65;4,19;0,74;2,4;30596333826,24
